epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,144.755,2.9054,4.06641,3.22121,0.01086,0.35593,0.0601,0.01017,3.5025,4.01801,4.77174,0.0017294,0.0017294,0.0017294
43,148.203,2.52863,3.70357,2.9945,0.13949,0.11864,0.07593,0.01246,3.29049,3.21022,4.03133,0.0017228,0.0017228,0.0017228
44,151.666,2.47216,3.53831,2.97027,0.02604,0.42373,0.08721,0.01595,2.95721,3.05383,3.68018,0.0017162,0.0017162,0.0017162
45,155.081,2.61767,3.6567,2.96916,0.02281,0.67797,0.08532,0.02187,2.98059,3.36045,4.09723,0.0017096,0.0017096,0.0017096
46,158.497,2.58976,3.42364,2.93269,0.03642,0.20339,0.058,0.01031,3.32921,3.79415,5.04557,0.001703,0.001703,0.001703
47,161.945,2.55132,3.49836,2.87814,0.02308,0.15254,0.03143,0.00715,2.91478,3.81405,3.76414,0.0016964,0.0016964,0.0016964
48,165.401,2.61778,3.70495,2.89955,0.01121,0.38983,0.05861,0.01928,2.95137,3.96184,3.93234,0.0016898,0.0016898,0.0016898
49,168.81,2.55734,3.53639,2.85061,0.016,0.20339,0.02663,0.00937,2.94156,4.24603,4.3963,0.0016832,0.0016832,0.0016832
50,172.239,2.55821,3.48817,2.91119,0.0161,0.32203,0.03951,0.01065,3.12452,4.18282,4.38072,0.0016766,0.0016766,0.0016766
51,175.669,2.47843,3.51269,2.79754,0.03846,0.47458,0.07093,0.01839,2.88312,3.933,3.68518,0.00167,0.00167,0.00167
52,179.134,2.60914,3.87452,2.80012,0.01225,0.67797,0.0632,0.01996,2.89453,3.3596,3.5563,0.0016634,0.0016634,0.0016634
53,182.515,2.51533,3.6381,2.86215,0.03618,0.10169,0.03026,0.01148,3.36406,3.70418,4.26128,0.0016568,0.0016568,0.0016568
54,185.957,2.39653,3.26644,2.72957,0.009,0.13559,0.01493,0.00572,3.08736,3.63679,3.92822,0.0016502,0.0016502,0.0016502
55,189.38,2.4681,3.5905,2.81277,0.00569,0.32203,0.00446,0.00155,3.28066,3.97742,4.2699,0.0016436,0.0016436,0.0016436
56,192.867,2.6472,3.95157,2.82035,0.02379,0.52542,0.02584,0.00763,3.16788,3.68666,4.525,0.001637,0.001637,0.001637
57,196.268,2.56402,3.62521,2.871,0.02306,0.11864,0.01105,0.00355,3.22975,4.0273,4.82473,0.0016304,0.0016304,0.0016304
58,199.837,2.70487,3.50885,2.89413,0.20108,0.0339,0.06453,0.0212,2.77763,3.81704,3.72915,0.0016238,0.0016238,0.0016238
59,203.266,2.54971,3.63397,2.8569,0.03311,0.08475,0.05953,0.02851,2.76175,3.93528,3.69677,0.0016172,0.0016172,0.0016172
60,206.763,2.53165,3.36368,2.76955,0.01869,0.20339,0.05046,0.02266,3.00816,4.11129,3.91304,0.0016106,0.0016106,0.0016106
61,210.189,2.49365,3.26754,2.70293,0.02935,0.50847,0.05104,0.0162,2.8726,3.71502,3.4577,0.001604,0.001604,0.001604
62,213.67,2.42955,3.54025,2.72672,0.15665,0.09142,0.08847,0.02061,3.00968,3.02199,3.50975,0.0015974,0.0015974,0.0015974
63,217.179,2.48458,3.16363,2.81778,0.02582,0.61017,0.07597,0.03929,2.97358,3.65835,3.51415,0.0015908,0.0015908,0.0015908
64,220.691,2.25712,3.62572,2.69436,0.02119,0.37288,0.04901,0.02343,2.96069,4.01747,3.56051,0.0015842,0.0015842,0.0015842
65,224.211,2.52289,3.3204,2.85315,0.09929,0.0678,0.04509,0.0245,3.21403,4.25111,3.76819,0.0015776,0.0015776,0.0015776
66,227.658,2.46602,3.1778,2.73455,0.11589,0.0678,0.071,0.03934,2.97901,4.01636,3.59974,0.001571,0.001571,0.001571
67,231.131,2.49229,3.40576,2.80131,0.02301,0.05085,0.06767,0.02841,2.961,3.92642,3.6224,0.0015644,0.0015644,0.0015644
68,234.669,2.40183,3.15822,2.73338,0.02971,0.11864,0.06924,0.03086,2.97635,3.61677,3.66047,0.0015578,0.0015578,0.0015578
69,238.173,2.38718,3.35976,2.66048,0.10321,0.10169,0.09414,0.03908,3.04368,3.57169,3.834,0.0015512,0.0015512,0.0015512
70,241.653,2.54274,3.20835,2.79605,0.04484,0.50847,0.07327,0.02957,3.38427,4.06416,4.46211,0.0015446,0.0015446,0.0015446
71,245.122,2.40097,3.1269,2.72354,0.04156,0.57627,0.06846,0.02844,2.86733,3.66443,3.60476,0.001538,0.001538,0.001538
72,248.627,2.60404,3.50313,2.82725,0.09121,0.0678,0.0546,0.02846,2.71684,3.55324,3.37458,0.0015314,0.0015314,0.0015314
73,252.093,2.40661,3.1502,2.76422,0.17387,0.0678,0.04613,0.01678,2.61869,3.5878,3.24811,0.0015248,0.0015248,0.0015248
74,255.566,2.33645,3.15495,2.6463,0.32844,0.05085,0.06167,0.03123,2.85871,3.80933,3.52661,0.0015182,0.0015182,0.0015182
